Name,Model,Year,Location,Transmission,Condition,Color,Amount
Toyota,Corolla,2018,Lagos,Automatic,42675 km,Dark Grey,"7,800,000"
Toyota,Camry,2010,Lagos,Automatic,85914 km,Black,"3,150,000"
Toyota,Camry,2010,Lagos,Automatic,62702 km,Silver,"2,400,000"
Toyota,Highlander,2004,Lagos,Automatic,76000 km,Silver,"1,680,000"
Toyota,Corolla,2010,Lagos,Automatic,76000 km,Red,"2,750,000"
Toyota,Sienna,2005,Lagos,Automatic,87542 km,Gold,"2,600,000"
Toyota,Dyna,2002,Lagos,Manual,Foreign Used,White,"5,800,000"
Toyota,Highlander,2008,Lagos,Automatic,702165 km,Silver,"3,850,000"
Toyota,Highlander,2003,Lagos,Automatic,Foreign Used,Gold,"2,100,000"
Toyota,Camry,2010,Lagos,Automatic,Foreign Used,Black,"2,500,000"
Toyota,RAV4,2013,Lagos,Automatic,Foreign Used,Red,"7,500,000"
Toyota,Camry,2011,Lagos,Automatic,54635 km,Gold,"2,450,000"
Toyota,Camry,2016,Abuja,Automatic,89346 km,Dark Grey,"6,800,000"
Toyota,Camry,2013,Kaduna,Automatic,Foreign Used,Red,"4,300,000"
Toyota,Camry,2012,Kaduna,Automatic,Foreign Used,Grey,"4,500,000"
Toyota,Camry,2013,Kaduna,Automatic,Locally Used,White,"2,850,000"
Toyota,Camry,2012,Lagos,Automatic,89543 km,Grey,"2,900,000"
Toyota,Sienna,2011,Abuja,Automatic,56982 km,White,"4,800,000"
Toyota,Camry,2012,Kaduna,Automatic,Locally Used,Black,"2,950,000"
Toyota,Sienna,2013,Lagos,Automatic,Foreign Used,Black,"4,500,000"
Honda,Accord,2017,Lagos,Automatic,21350 km,Black,"7,350,000"
Honda,Accord,2004,Lagos,Manual,134078 km,Black,"1,300,000"
Honda,CR-V,2008,Lagos,Automatic,120432 km,Gold,"3,100,000"
Honda,Accord,2010,Lagos,Automatic,Foreign Used,Green,"3,500,000"
Honda,Accord,2012,Lagos,Automatic,Foreign Used,Black,"4,000,000"
Honda,Accord,2012,Lagos,Automatic,Foreign Used,Grey,"2,500,000"
Honda,Pilot,2006,Lagos,Automatic,67000 km,Black,"2,000,000"
Honda,Pilot,2012,Lagos,Automatic,Foreign Used,Black,"4,500,000"
Honda,Accord,2013,Lagos,Automatic,Foreign Used,Dark Grey,"4,500,000"
Honda,Pilot,2010,Lagos,Automatic,75932 km,Grey,"2,700,000"
Honda,Accord,2008,Lagos,Automatic,108443 km,Gold,"1,280,000"
Honda,Civic,2011,Lagos,Automatic,102324 km,Dark Blue,"1,830,000"
Honda,Accord,2009,Lagos,Automatic,128455 km,Black,"950,000"
Honda,Accord,2007,Lagos,Automatic,122546 km,Dark Grey,"700,000"
Honda,Accord,2009,Lagos,Automatic,128678 km,Dark Grey,"1,190,000"
Honda,Accord,2008,Lagos,Automatic,108443 km,Gold,"1,280,000"
Honda,Pilot,2006,Lagos,Automatic,118346 km,Dark Grey,"1,990,000"
Honda,Pilot,2007,Lagos,Automatic,115335 km,Blue,"1,650,000"
Honda,Accord,2008,Lagos,Automatic,103566 km,Dark Grey,"1,190,000"
Honda,CR-V,2000,Lagos,Automatic,75893 km,Red,"530,000"
Toyota,Sienna,2012,Lagos,Automatic,Foreign Used,Grey,"5,200,000"
Toyota,Camry,2004,Lagos,Automatic,Foreign Used,Gold,"1,550,000"
Toyota,Camry,2009,Lagos,Automatic,65 km,Silver,"3,000,000"
Toyota,Corolla,2018,Lagos,Automatic,42675 km,Dark Grey,"7,800,000"
