,Type,Rooms,Location,Price
0,semi-detached duplex,6,Lekki,5000000
1,terraced duplex,3,Lekki,2500000
2,terraced duplex,4,Gbagada,4000000
3,detached duplex,4,Lekki,4600000
4,detached duplex,4,Lekki,3000000
5,detached duplex,5,Lekki,4000000
6,terraced duplex,4,(VI),4500000
7,semi-detached duplex,4,Lekki,5500000
8,terraced duplex,4,Ajah,1500000
9,detached duplex,5,Lekki,4500000
10,terraced duplex,4,Ikoyi,4000000
11,terraced duplex,4,(VI),4000000
12,semi-detached duplex,4,Ojodu,700000
13,house for,3,Lekki,2200000
14,detached duplex,5,Magodo,5500000
15,terraced duplex,4,Lekki,4000000
16,semi-detached duplex,4,(VI),4500000
17,terraced duplex,4,(VI),7000000
18,semi-detached duplex,4,Lekki,3500000
19,semi-detached duplex,4,(VI),7000000
20,terraced duplex,4,Ikoyi,4000000
21,terraced duplex,3,Lekki,1500000
22,semi-detached duplex,4,Lekki,3500000
23,semi-detached duplex,4,Lekki,3500000
24,house for,4,(VI),5000000
25,house for,3,Lekki,2800000
26,terraced duplex,2,Lekki,1500000
27,terraced duplex,4,Lekki,2800000
28,terraced duplex,4,Maryland,3000000
29,semi-detached duplex,4,Lekki,4000000
30,detached duplex,4,Lekki,4500000
31,detached duplex,5,Lekki,3500000
32,terraced duplex,4,Ikoyi,8500000
33,semi-detached duplex,4,Ikoyi,6500000
34,terraced duplex,4,Lekki,2700000
35,detached duplex,5,Lekki,5250000
36,detached duplex,5,Lekki,4200000
37,terraced duplex,4,Ikoyi,8500000
38,detached duplex,4,Lekki,3500000
39,semi-detached duplex,6,(VI),15000000
40,detached duplex,5,Lekki,4000000
41,detached duplex,4,Lekki,3800000
42,house for,4,Lekki,4000000
43,terraced duplex,4,Lekki,3500000
44,terraced duplex,4,Lekki,3000000
45,terraced duplex,3,Lekki,3000000
46,detached bungalow,3,Ikeja,8000000
47,terraced duplex,5,Ikeja,5000000
48,detached duplex,4,Lekki,6000000
49,detached duplex,5,Lekki,4000000
50,semi-detached duplex,4,Lekki,3500000
51,detached duplex,5,Ajah,4000000
52,house for,3,Lekki,4000000
53,semi-detached duplex,4,Island,4000000
54,house for,3,(VI),4000000
55,detached duplex,5,Lekki,4000000
56,detached duplex,5,Lekki,4000000
57,semi-detached duplex,4,Lekki,3500000
58,semi-detached duplex,4,Lekki,3500000
59,detached duplex,4,Lekki,4000000
60,terraced duplex,4,(VI),4700000
61,terraced duplex,3,North,1300000
62,semi-detached duplex,4,Lekki,3500000
63,terraced duplex,3,Lekki,1500000
64,detached duplex,5,Lekki,4000000
65,terraced duplex,4,Lekki,3000000
66,terraced duplex,4,Magodo,2800000
67,house for,3,Ikeja,1700000
68,detached duplex,7,Lekki,3500000
69,terraced duplex,4,Lekki,3500000
70,detached duplex,5,Lekki,4000000
71,house for,3,(VI),5000000
72,detached duplex,5,(VI),8500000
73,detached duplex,4,Maryland,8500000
74,terraced duplex,4,(VI),6000000
75,house for,3,(VI),4500000
76,terraced duplex,2,Lekki,2500000
77,terraced duplex,3,Ikoyi,8500000
78,detached bungalow,4,Lekki,3000000
79,semi-detached duplex,3,Ikoyi,9000000
80,house for,3,(VI),4000000
81,house for,3,Lekki,2200000
82,semi-detached duplex,4,Lekki,2500000
83,terraced duplex,4,Ikoyi,8000000
84,terraced duplex,3,Lekki,1500000
85,semi-detached duplex,3,Lekki,2500000
86,semi-detached duplex,4,(VI),3500000
87,semi-detached duplex,4,Ikoyi,7000000
88,semi-detached duplex,5,(VI),8500000
89,house for,3,Lekki,1600000
90,semi-detached duplex,4,Lekki,3500000
91,detached duplex,5,Lekki,4500000
92,terraced duplex,4,Lekki,3000000
93,semi-detached duplex,3,Ikoyi,12000000
94,detached duplex,3,Lekki,2500000
95,terraced duplex,3,Ikeja,3500000
96,terraced duplex,4,(VI),4000000
97,semi-detached duplex,4,(VI),6000000
98,semi-detached duplex,4,Lekki,3500000
99,house for,3,(VI),4000000
100,terraced duplex,4,(VI),5000000
101,terraced duplex,4,(VI),4000000
102,detached duplex,4,Lekki,5000000
103,terraced duplex,3,Lekki,4000000
104,terraced duplex,3,Lekki,2000000
105,house for,4,Lekki,4000000
106,detached duplex,5,Lekki,5000000
107,terraced duplex,4,Lekki,3000000
108,terraced duplex,4,Lekki,3000000
109,terraced duplex,4,(VI),4500000
110,detached duplex,5,Lekki,4000000
111,detached duplex,4,Lekki,3700000
112,detached duplex,5,Lekki,4200000
113,detached bungalow,2,Ikorodu,150000
114,terraced duplex,5,Lekki,3000000
115,detached duplex,5,Lekki,4200000
116,house for,4,Lekki,4500000
117,semi-detached duplex,4,Lekki,4500000
118,semi-detached duplex,4,Lekki,2000000
119,detached duplex,5,Lekki,4500000
120,terraced duplex,4,Lekki,3000000
121,semi-detached duplex,4,Lekki,2500000
122,semi-detached duplex,4,Lekki,3500000
123,semi-detached duplex,4,Lekki,3500000
124,semi-detached duplex,4,Lekki,4000000
125,terraced duplex,4,Lekki,3000000
126,terraced duplex,3,Lekki,1500000
127,detached duplex,4,Lekki,3800000
128,semi-detached duplex,4,Lekki,3000000
129,terraced duplex,3,Lekki,2700000
130,house for,4,Lekki,3500000
131,detached duplex,4,Lekki,2000000
132,detached duplex,5,Lekki,9000000
133,detached duplex,4,Lekki,3800000
134,detached duplex,5,Lekki,4500000
135,semi-detached bungalow,3,Ikorodu,450000
136,detached bungalow,3,Ikorodu,1000000
137,semi-detached bungalow,3,Ikorodu,700000
138,semi-detached duplex,4,Lekki,2300000
139,semi-detached duplex,5,Lekki,10000000
140,detached duplex,4,Lekki,3000000
141,terraced duplex,3,Lekki,2500000
142,terraced duplex,3,Lekki,2500000
143,semi-detached duplex,4,Lekki,3000000
144,semi-detached duplex,4,Lekki,3800000
145,terraced duplex,4,Lekki,4500000
146,detached duplex,4,Lekki,3800000
147,semi-detached duplex,6,Lekki,5000000
148,semi-detached duplex,4,Lekki,3500000
149,terraced duplex,4,Lekki,2800000
150,detached duplex,5,Lekki,3500000
151,semi-detached duplex,4,Lekki,4000000
152,terraced duplex,4,Ikoyi,15000000
153,terraced duplex,4,Lekki,6000000
154,detached duplex,3,Lekki,3500000
155,detached duplex,5,Lekki,8500000
