Location,Type,Rooms,Price
Lekki,semi-detached duplex,6,5000000
Lekki,terraced duplex,3,2500000
Gbagada,terraced duplex,4,4000000
Lekki,detached duplex,4,4600000
Lekki,detached duplex,4,3000000
Lekki,detached duplex,5,4000000
VI,terraced duplex,4,4500000
Lekki,semi-detached duplex,4,5500000
Ajah,terraced duplex,4,1500000
Lekki,detached duplex,5,4500000
Ikoyi,terraced duplex,4,4000000
VI,terraced duplex,4,4000000
Ojodu,semi-detached duplex,4,700000
Lekki,flat apartment,3,2200000
Magodo,detached duplex,5,5500000
Lekki,terraced duplex,4,4000000
VI,semi-detached duplex,4,4500000
VI,terraced duplex,4,7000000
Lekki,semi-detached duplex,4,3500000
VI,semi-detached duplex,4,7000000
Ikoyi,terraced duplex,4,4000000
Lekki,terraced duplex,3,1500000
Lekki,semi-detached duplex,4,3500000
Lekki,semi-detached duplex,4,3500000
VI,flat apartment,4,5000000
Lekki,flat apartment,3,2800000
Lekki,terraced duplex,2,1500000
Lekki,terraced duplex,4,2800000
Maryland,terraced duplex,4,3000000
Lekki,semi-detached duplex,4,4000000
Lekki,detached duplex,4,4500000
Lekki,detached duplex,5,3500000
Ikoyi,terraced duplex,4,8500000
Ikoyi,semi-detached duplex,4,6500000
Lekki,terraced duplex,4,2700000
Lekki,detached duplex,5,5250000
Lekki,detached duplex,5,4200000
Ikoyi,terraced duplex,4,8500000
Lekki,detached duplex,4,3500000
VI,semi-detached duplex,6,15000000
Lekki,detached duplex,5,4000000
Lekki,detached duplex,4,3800000
Lekki,flat apartment,4,4000000
Lekki,terraced duplex,4,3500000
Lekki,terraced duplex,4,3000000
Lekki,terraced duplex,3,3000000
Ikeja,detached bungalow,3,8000000
Ikeja,terraced duplex,5,5000000
Lekki,detached duplex,4,6000000
Lekki,detached duplex,5,4000000
Lekki,semi-detached duplex,4,3500000
Ajah,detached duplex,5,4000000
Lekki,flat apartment,3,4000000
Island,semi-detached duplex,4,4000000
VI,flat apartment,3,4000000
Lekki,detached duplex,5,4000000
Lekki,detached duplex,5,4000000
